Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntWoodBevelBookCase,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de madera  [ddcdfa](120) - Esquina de cubo biselado de estantería llena","Caisse de rangement en bois  [ddcdfa](120) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio di legno  [ddcdfa](120) - Angolo del cubo smussato con libreria piena","木製ストレージ  [ddcdfa](120) - キューブ（コーナー・斜角・ブックケース・満タン）","목재 보관함  [ddcdfa](120) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian – róg, faseta, regał na książki, pełny","Caixote de deposito de madeira  [ddcdfa](120) - Estante de livros cheia biselada de cubo de canto","Деревянный складской ящик  [ddcdfa](120) - Куб с полным книжным шкафом, срезанный угол","Tahta Depolama Sandığı  [ddcdfa](120) - Küp Köşe Pahlı Kitaplık, Dolu","木储藏箱  [ddcdfa](120) - 方块 拐角 斜角 书架 完整","木儲藏箱  [ddcdfa](120) - 完整方塊角斜面書櫃"
cntWoodBookCase,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Bookcase Full",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Bücherregal – voll","Embalaje de almacenamiento de madera  [ddcdfa](120) - Estantería llena","Caisse de rangement en bois  [ddcdfa](120) - Bibliothèque pleine","Cassa di stoccaggio di legno  [ddcdfa](120) - Libreria piena","木製ストレージ  [ddcdfa](120) - ブックケース（満タン）","목재 보관함  [ddcdfa](120) - 책장 꽉참","Skrzynia na towary – drewniana  [ddcdfa](120) - Regał na książki – pełny","Caixote de deposito de madeira  [ddcdfa](120) - Estante de livros cheia","Деревянный складской ящик  [ddcdfa](120) - Полный книжный шкаф","Tahta Depolama Sandığı  [ddcdfa](120) - Kitaplık Dolu","木储藏箱  [ddcdfa](120) - 书架 完整","木儲藏箱  [ddcdfa](120) - 滿書櫃"
cntWoodMorticianDrawer,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Mortician Drawer",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Leichenbestatter-Schublade","Embalaje de almacenamiento de madera  [ddcdfa](120) - Cajón del funerario","Caisse de rangement en bois  [ddcdfa](120) - Tiroir croque-mort","Cassa di stoccaggio di legno  [ddcdfa](120) - Cassetto del becchino","木製ストレージ  [ddcdfa](120) - 葬儀屋の引き出し","목재 보관함  [ddcdfa](120) - 장의사용 서랍","Skrzynia na towary – drewniana  [ddcdfa](120) - Szuflada kostnicy","Caixote de deposito de madeira  [ddcdfa](120) - Gaveta de agente funerário","Деревянный складской ящик  [ddcdfa](120) - Ящик гробовщика","Tahta Depolama Sandığı  [ddcdfa](120) - Morg Çekmecesi","木储藏箱  [ddcdfa](120) - 殡葬业者抽屉","木儲藏箱  [ddcdfa](120) - 送葬者抽屜"
cntIronCube,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Würfel","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Cubo","Caisse de rangement en fer  [ddcdfa](144) - Cube","Cassa di stoccaggio di ferro  [ddcdfa](144) - Cubo","鉄製ストレージ  [ddcdfa](144) - キューブ","철제 보관함  [ddcdfa](144) - 육면체","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian","Caixote de deposito de ferro  [ddcdfa](144) - Cubo","Железный складской ящик  [ddcdfa](144) - Куб","Demir Depolama Sandığı  [ddcdfa](144) - Küp","铁储藏箱  [ddcdfa](144) - 方块","鐵儲藏箱  [ddcdfa](144) - 方塊"
cntIronHalf,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube Half",n/a  [ddcdfa](144) - ,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - 1/2-Würfel","Embalaje de almacenamiento de hierro  [ddcdfa](144) - 1/2 cubo","Caisse de rangement en fer  [ddcdfa](144) - 1/2 cube","Cassa di stoccaggio di ferro  [ddcdfa](144) - 1/2 cubo","鉄製ストレージ  [ddcdfa](144) - キューブ1/2","철제 보관함  [ddcdfa](144) - 육면체 1/2","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian 1/2","Caixote de deposito de ferro  [ddcdfa](144) - 1/2 cubo","Железный складской ящик  [ddcdfa](144) - Куб 1/2","Demir Depolama Sandığı  [ddcdfa](144) - Küp 1/2","铁储藏箱  [ddcdfa](144) - 方块 1/2","鐵儲藏箱  [ddcdfa](144) - 1/2 方塊"
cntIronBevel,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cupboard Corner",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Schrank – Ecke","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Esquina de despensa","Caisse de rangement en fer  [ddcdfa](144) - Coin de placard","Cassa di stoccaggio di ferro  [ddcdfa](144) - Credenza angolare","鉄製ストレージ  [ddcdfa](144) - カップボード（コーナー）","철제 보관함  [ddcdfa](144) - 찬장 모서리","Skrzynia na towary – żelazna  [ddcdfa](144) - Kredens – róg","Caixote de deposito de ferro  [ddcdfa](144) - Canto de guarda-louça","Железный складской ящик  [ddcdfa](144) - Угловой буфет","Demir Depolama Sandığı  [ddcdfa](144) - Büfe Köşe","铁储藏箱  [ddcdfa](144) - 碗柜 拐角","鐵儲藏箱  [ddcdfa](144) - 碗櫥轉角"
cntIronBuffet,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Buffet Counter",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Buffet-Theke","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Mostrador de bufet","Caisse de rangement en fer  [ddcdfa](144) - Comptoir de buffet","Cassa di stoccaggio di ferro  [ddcdfa](144) - Banco del buffet","鉄製ストレージ  [ddcdfa](144) - ブッフェ（カウンター）","철제 보관함  [ddcdfa](144) - 뷔페 카운터","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada bufetowa","Caixote de deposito de ferro  [ddcdfa](144) - Balcão de bufê","Железный складской ящик  [ddcdfa](144) - Стойка буфета","Demir Depolama Sandığı  [ddcdfa](144) - Açık Büfe Tezgâhı","铁储藏箱  [ddcdfa](144) - 自助餐柜台","鐵儲藏箱  [ddcdfa](144) - 自助餐櫃檯"
cntIronSinkRound,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Counter Sink Hole Round",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Fregadero de encimera con hoyo redondo","Caisse de rangement en fer  [ddcdfa](144) - Évier de comptoir, trou rond","Cassa di stoccaggio di ferro  [ddcdfa](144) - Lavandino con bancone arrotondato con foro","鉄製ストレージ  [ddcdfa](144) - カウンター（シンク・穴・丸型）","철제 보관함  [ddcdfa](144) - 카운터 싱크대 구멍 원형","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada – zlew, dziura, okrągła","Caixote de deposito de ferro  [ddcdfa](144) - Buraco de pia de balcão redondo","Железный складской ящик  [ddcdfa](144) - Основание для мойки с круглым отверстием","Demir Depolama Sandığı  [ddcdfa](144) - Tezgah Eviye Deliği Yuvarlak","铁储藏箱  [ddcdfa](144) - 柜台 水槽 有洞 圆弧","鐵儲藏箱  [ddcdfa](144) - 櫃檯盥洗盆圓孔"
cntIronHollowTop,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Counter Hollow Top",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Theke – hohl, oben","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Parte superior de encimera hueca","Caisse de rangement en fer  [ddcdfa](144) - Comptoir creux, haut","Cassa di stoccaggio di ferro  [ddcdfa](144) - Parte superiore vuota del banco","鉄製ストレージ  [ddcdfa](144) - カウンター（中空・上部）","철제 보관함  [ddcdfa](144) - 카운터 비어있음 상단","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada – pusta, góra","Caixote de deposito de ferro  [ddcdfa](144) - Topo oco de balcão","Железный складской ящик  [ddcdfa](144) - Верх пустой стойки","Demir Depolama Sandığı  [ddcdfa](144) - Tezgâh Oyuk Üst","铁储藏箱  [ddcdfa](144) - 柜台 中空 顶部","鐵儲藏箱  [ddcdfa](144) - 櫃檯空心頂部"
cntIronBevelBookCase,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Esquina de cubo biselado de estantería llena","Caisse de rangement en fer  [ddcdfa](144) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio di ferro  [ddcdfa](144) - Angolo del cubo smussato con libreria piena","鉄製ストレージ  [ddcdfa](144) - キューブ（コーナー・斜角・ブックケース・満タン）","철제 보관함  [ddcdfa](144) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian – róg, faseta, regał na książki, pełny","Caixote de deposito de ferro  [ddcdfa](144) - Estante de livros cheia biselada de cubo de canto","Железный складской ящик  [ddcdfa](144) - Куб с полным книжным шкафом, срезанный угол","Demir Depolama Sandığı  [ddcdfa](144) - Küp Köşe Pahlı Kitaplık, Dolu","铁储藏箱  [ddcdfa](144) - 方块 拐角 斜角 书架 完整","鐵儲藏箱  [ddcdfa](144) - 完整方塊角斜面書櫃"
cntIronBookCase,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Bücherregal – voll","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Estantería llena","Caisse de rangement en fer  [ddcdfa](144) - Bibliothèque pleine","Cassa di stoccaggio di ferro  [ddcdfa](144) - Libreria piena","鉄製ストレージ  [ddcdfa](144) - ブックケース（満タン）","철제 보관함  [ddcdfa](144) - 책장 꽉참","Skrzynia na towary – żelazna  [ddcdfa](144) - Regał na książki – pełny","Caixote de deposito de ferro  [ddcdfa](144) - Estante de livros cheia","Железный складской ящик  [ddcdfa](144) - Полный книжный шкаф","Demir Depolama Sandığı  [ddcdfa](144) - Kitaplık Dolu","铁储藏箱  [ddcdfa](144) - 书架 完整","鐵儲藏箱  [ddcdfa](144) - 滿書櫃"
cntIronMorticianDrawer,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Mortician Drawer",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Leichenbestatter-Schublade","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Cajón del funerario","Caisse de rangement en fer  [ddcdfa](144) - Tiroir croque-mort","Cassa di stoccaggio di ferro  [ddcdfa](144) - Cassetto del becchino","鉄製ストレージ  [ddcdfa](144) - 葬儀屋の引き出し","철제 보관함  [ddcdfa](144) - 장의사용 서랍","Skrzynia na towary – żelazna  [ddcdfa](144) - Szuflada kostnicy","Caixote de deposito de ferro  [ddcdfa](144) - Gaveta de agente funerário","Железный складской ящик  [ddcdfa](144) - Ящик гробовщика","Demir Depolama Sandığı  [ddcdfa](144) - Morg Çekmecesi","铁储藏箱  [ddcdfa](144) - 殡葬业者抽屉","鐵儲藏箱  [ddcdfa](144) - 送葬者抽屜"
